Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,36,3,Some Random Commen with Id 0
1,0,9,146,5,Some Random Commen with Id 1
2,0,9,164,9,Some Random Commen with Id 2
3,0,9,103,4,Some Random Commen with Id 3
4,1,1,35,9,Some Random Commen with Id 4
5,1,1,10,8,Some Random Commen with Id 5
6,2,5,127,8,Some Random Commen with Id 6
7,2,5,64,0,Some Random Commen with Id 7
8,2,5,192,3,Some Random Commen with Id 8
9,2,5,27,5,Some Random Commen with Id 9
10,2,5,140,0,Some Random Commen with Id 10
11,2,5,158,8,Some Random Commen with Id 11
12,3,6,11,1,Some Random Commen with Id 12
13,3,6,70,5,Some Random Commen with Id 13
14,4,4,38,6,Some Random Commen with Id 14
15,4,4,16,9,Some Random Commen with Id 15
16,4,4,62,6,Some Random Commen with Id 16
17,4,4,64,5,Some Random Commen with Id 17
18,4,4,76,2,Some Random Commen with Id 18
19,4,4,45,2,Some Random Commen with Id 19
20,5,2,160,6,Some Random Commen with Id 20
21,5,2,103,0,Some Random Commen with Id 21
22,5,2,130,7,Some Random Commen with Id 22
23,5,2,27,0,Some Random Commen with Id 23
24,5,2,2,9,Some Random Commen with Id 24
25,5,2,87,0,Some Random Commen with Id 25
26,5,2,176,5,Some Random Commen with Id 26
27,6,5,37,2,Some Random Commen with Id 27
28,6,5,102,7,Some Random Commen with Id 28
29,6,5,1,8,Some Random Commen with Id 29
30,6,5,62,4,Some Random Commen with Id 30
31,6,5,9,8,Some Random Commen with Id 31
32,6,5,113,8,Some Random Commen with Id 32
33,6,5,19,8,Some Random Commen with Id 33
34,7,8,159,3,Some Random Commen with Id 34
35,7,8,94,1,Some Random Commen with Id 35
36,7,8,156,6,Some Random Commen with Id 36
37,7,8,25,1,Some Random Commen with Id 37
38,7,8,163,4,Some Random Commen with Id 38
39,7,8,62,9,Some Random Commen with Id 39
40,7,8,172,3,Some Random Commen with Id 40
41,7,8,0,7,Some Random Commen with Id 41
42,8,2,49,8,Some Random Commen with Id 42
43,8,2,176,5,Some Random Commen with Id 43
44,8,2,150,7,Some Random Commen with Id 44
45,9,4,6,2,Some Random Commen with Id 45
46,9,4,146,7,Some Random Commen with Id 46
47,9,4,190,4,Some Random Commen with Id 47
48,9,4,114,5,Some Random Commen with Id 48
49,9,4,106,1,Some Random Commen with Id 49
50,9,4,100,1,Some Random Commen with Id 50
51,9,4,1,7,Some Random Commen with Id 51
52,9,4,190,5,Some Random Commen with Id 52
53,10,3,28,6,Some Random Commen with Id 53
54,10,3,198,9,Some Random Commen with Id 54
55,10,3,65,9,Some Random Commen with Id 55
56,10,3,35,5,Some Random Commen with Id 56
57,10,3,46,1,Some Random Commen with Id 57
58,11,8,163,5,Some Random Commen with Id 58
59,13,2,196,2,Some Random Commen with Id 59
60,13,2,38,6,Some Random Commen with Id 60
61,13,2,22,5,Some Random Commen with Id 61
62,13,2,46,1,Some Random Commen with Id 62
63,13,2,137,8,Some Random Commen with Id 63
64,15,1,12,5,Some Random Commen with Id 64
65,15,1,81,1,Some Random Commen with Id 65
66,15,1,24,0,Some Random Commen with Id 66
67,18,2,117,7,Some Random Commen with Id 67
68,18,2,182,6,Some Random Commen with Id 68
69,18,2,39,1,Some Random Commen with Id 69
70,18,2,48,4,Some Random Commen with Id 70
71,18,2,69,4,Some Random Commen with Id 71
72,18,2,127,5,Some Random Commen with Id 72
73,19,6,43,9,Some Random Commen with Id 73
74,19,6,102,3,Some Random Commen with Id 74
75,21,9,59,2,Some Random Commen with Id 75
76,21,9,125,6,Some Random Commen with Id 76
77,21,9,89,6,Some Random Commen with Id 77
